id,name,description,category,image,price1_label,price1,price2_label,price2,price3_label,price3
1,Perro Sencillo,"Perro caliente con tocineta, ripio de papa, queso y salsas de la casa.",Perros Calientes,https://comidasrapidastrucco.netlify.app/images/perro-caliente.jpeg,Perro Sencillo,9000,,,, 
2,Perro Ranchero,"Perro caliente ranchero con tocineta, queso fundido y salsas especiales.",Perros Calientes,https://comidasrapidastrucco.netlify.app/images/menu/perro-ranchero.png,Perro Ranchero,18000,,,,
3,Perro Suizo,"Perro caliente suizo con tocineta, queso suizo gratinado y salsas.",Perros Calientes,https://comidasrapidastrucco.netlify.app/images/menu/perro-suizo.png,Perro Suizo,23000,,,,
4,Perro Mixto,"Perro caliente mixto con tocineta, mezcla de carnes y salsas de la casa.",Perros Calientes,https://comidasrapidastrucco.netlify.app/images/menu/perro-mixto.png,Perro Mixto,20000,,,,
5,Perro Chori Perro,"Perro caliente con chorizo, tocineta y salsas especiales.",Perros Calientes,https://comidasrapidastrucco.netlify.app/images/menu/perro-chori-perro.png,Perro Chori Perro,20000,,,,
6,Perro Americano,"Perro caliente americano con tocineta, queso cheddar y salsas.",Perros Calientes,https://comidasrapidastrucco.netlify.app/images/menu/perro-americano.png,Perro Americano,18000,,,,
7,Perro Todas las Carnes,"El mas cargado. Perro con todas las carnes, tocineta y salsas de la casa.",Perros Calientes,https://comidasrapidastrucco.netlify.app/images/menu/perro-todas-las-carnes.png,Perro Todas las Carnes,28000,,,,
8,Hamburguesa de Pollo,Hamburguesa de pollo jugosa + papas a la francesa.,Hamburguesas,https://comidasrapidastrucco.netlify.app/images/menu/hamburguesa-pollo.png,Hamburguesa de Pollo + Papas,23000,,,,
9,Hamburguesa de Cerdo,Hamburguesa de cerdo a la plancha + papas a la francesa.,Hamburguesas,https://comidasrapidastrucco.netlify.app/images/menu/hamburguesa-cerdo.png,Hamburguesa de Cerdo + Papas,22000,,,,
10,Salchipapas,"Papas francesas crujientes con salchicha ranchera y salsas.",Salchipapas,https://comidasrapidastrucco.netlify.app/images/salchipapa.jpg,Salchipapas Sencilla,15000,,,,
11,Chori Papa,Papas francesas con chorizo y salsas de la casa.,Salchipapas,https://comidasrapidastrucco.netlify.app/images/menu/chori-papa.jpg,Chori Papa,20000,,,,
12,Salchipapas Suiza,Papas francesas con salchicha y queso suizo gratinado.,Salchipapas,https://comidasrapidastrucco.netlify.app/images/menu/salchipapa-suiza.jpg,Salchipapas Suiza (chorizo + suiza),22000,Salchipapas Suiza Especial,25000,,
13,Burrito de Pollo,"Burrito relleno de pollo, queso, vegetales y salsas.",Burritos,https://comidasrapidastrucco.netlify.app/images/burritos.jpeg,Burrito de Pollo,24000,,,,
14,Burrito de Cerdo,"Burrito relleno de cerdo a la plancha, queso y salsas.",Burritos,https://comidasrapidastrucco.netlify.app/images/menu/burrito-cerdo.jpg,Burrito de Cerdo,22000,,,,
15,Burrito de Carne,"Burrito relleno de carne de res, queso, vegetales y salsas.",Burritos,https://comidasrapidastrucco.netlify.app/images/menu/burrito-carne.jpg,Burrito de Carne,25000,,,,
16,Burrito Especial Todas las Carnes,"El mas completo. Burrito con todas las carnes, queso y salsas.",Burritos,https://comidasrapidastrucco.netlify.app/images/menu/burrito-especial.jpg,Burrito Especial Todas las Carnes,28000,,,,
17,Picada,"Picada con carnes, papas, salsas y acompanamientos de la casa.",Picadas,https://comidasrapidastrucco.netlify.app/images/picadas.jpg,Picada Sencilla (1 persona),25000,Picada para 2 personas,35000,Picada para 3 personas,50000
18,Patacon Especial,"Pataon cargado con carne, pollo o cerdo, queso y salsas.",Patacones,https://comidasrapidastrucco.netlify.app/images/menu/patacon-especial.jpg,Pataon Especial (carne pollo o cerdo),25000,Pataon Sencillo (pollo o cerdo),20000,,
19,Mega Picada para 6 Personas,"Carne, pollo, butifarra, chorizo, papas a la francesa, salchichon cervecero, zumu, pataon y salsa de la casa.",Mega Picada,https://comidasrapidastrucco.netlify.app/images/menu/mega-picada.jpg,Mega Picada (6 personas),100000,,,,
